"filename", "language", "JSON with Comments", "vue", "JavaScript", "JSON", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"d:\Coding\Vue\HyperMusic_frontend\src\views\PlaylistPage.vue", "vue", 0, 437, 0, 0, 0, 0, 0, 6, 23, 466
"d:\Coding\Vue\HyperMusic_frontend\src\views\RegisterPage.vue", "vue", 0, 314, 0, 0, 0, 0, 0, 5, 3, 322
"d:\Coding\Vue\HyperMusic_frontend\src\views\Search.vue", "vue", 0, 159, 0, 0, 0, 0, 0, 0, 9, 168
"d:\Coding\Vue\HyperMusic_frontend\src\views\SingerPage.vue", "vue", 0, 136, 0, 0, 0, 0, 0, 58, 9, 203
"d:\Coding\Vue\HyperMusic_frontend\src\views\SocialPage.vue", "vue", 0, 270, 0, 0, 0, 0, 0, 7, 4, 281
"d:\Coding\Vue\HyperMusic_frontend\src\views\Social\FanPage.vue", "vue", 0, 87, 0, 0, 0, 0, 0, 0, 3, 90
"d:\Coding\Vue\HyperMusic_frontend\src\views\Social\FollowPage.vue", "vue", 0, 84, 0, 0, 0, 0, 0, 0, 3, 87
"d:\Coding\Vue\HyperMusic_frontend\src\views\SongPage.vue", "vue", 0, 565, 0, 0, 0, 0, 0, 8, 19, 592
"d:\Coding\Vue\HyperMusic_frontend\src\views\UserHome.vue", "vue", 0, 668, 0, 0, 0, 0, 0, 26, 14, 708
"d:\Coding\Vue\HyperMusic_frontend\src\views\UserMessage.vue", "vue", 0, 45, 0, 0, 0, 0, 0, 10, 3, 58
"d:\Coding\Vue\HyperMusic_frontend\src\views\UserMusic.vue", "vue", 0, 259, 0, 0, 0, 0, 0, 11, 13, 283
"d:\Coding\Vue\HyperMusic_frontend\src\views\UserPage.vue", "vue", 0, 5, 0, 0, 0, 0, 0, 1, 1, 7
"d:\Coding\Vue\HyperMusic_frontend\src\views\UserSetting.vue", "vue", 0, 556, 0, 0, 0, 0, 0, 20, 9, 585
